"ID1,N,4,0","HHID,C,15","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","QH91,N,1,0","QH93,N,1,0","QH95,N,1,0","QH96,N,2,0","QH96A,N,2,0","QH96M,N,2,0","QH96AC,N,1,0","QH97D,N,2,0","QH97M,N,2,0","QH97A,N,4,0","QH99,N,1,0","QH101,N,1,0","QH103,N,1,0","QH106,N,1,0","QHVIOLEN,N,2,0"
2019,      002400801,24,8,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      002401501,24,15,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,3
2019,      002403001,24,30,1,0,2,1,2,3,0,2,0,0,0,0,1,2,0,3
2019,      002404701,24,47,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002404901,24,49,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      002407201,24,72,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      002409001,24,90,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      002410401,24,104,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002410601,24,106,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002501601,25,16,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
2019,      002502501,25,25,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002506201,25,62,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002507601,25,76,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002508701,25,87,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002510201,25,102,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      002514301,25,143,1,0,2,1,2,4,0,2,0,0,0,0,1,2,2,2
2019,      002518501,25,185,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002518801,25,188,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      002602201,26,22,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002602601,26,26,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      002604101,26,41,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002606601,26,66,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002606801,26,68,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002607601,26,76,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,5
2019,      002609101,26,91,1,2,2,1,1,1,4,2,0,0,0,0,2,2,0,3
2019,      002609801,26,98,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,4
2019,      002610101,26,101,1,2,2,1,2,2,0,2,0,0,0,1,2,2,2,2
2019,      002610901,26,109,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      002702201,27,22,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      002702501,27,25,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      002703301,27,33,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002706501,27,65,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002708301,27,83,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      002712401,27,124,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
