,PS_PENSION65-ID1-anho,PS_PENSION65-HHID-identificacion_cuestionario_del_hogar,PS_PENSION65-HVIDX-numero_de_orden_en_el_hogar,PS_PENSION65-QHCLUSTER-conglomerado,PS_PENSION65-QHNUMBER-vivienda_seleccionada,PS_PENSION65-QHHOME-hogar_seleccionado,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario,PS_PENSION65-PS3-numero_de_orden,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario_LABEL
301,2019,28301701,3,283,17,1,2,0,2,1,2,0,No
302,2019,28304401,1,283,44,1,4,0,2,1,4,0,No
303,2019,28306801,1,283,68,1,2,0,2,1,2,0,No
304,2019,28409901,1,284,99,1,4,6,2,1,4,6,No
305,2019,28500201,1,285,2,1,4,0,2,1,4,0,No
306,2019,28500401,1,285,4,1,8,0,1,1,8,0,Si
307,2019,28500401,2,285,4,1,0,6,2,2,0,6,No
308,2019,28500601,1,285,6,1,5,0,2,1,5,0,No
309,2019,28602301,1,286,23,1,2,0,1,1,2,0,Si
310,2019,28602301,2,286,23,1,2,0,2,2,2,0,No
311,2019,28602701,1,286,27,1,3,0,2,1,3,0,No
312,2019,28603101,1,286,31,1,4,0,1,1,4,0,Si
313,2019,28603101,2,286,31,1,3,0,2,2,3,0,No
314,2019,28603301,1,286,33,1,2,1,2,1,2,1,No
315,2019,28603901,1,286,39,1,2,6,1,1,2,6,Si
316,2019,28603901,2,286,39,1,1,6,2,2,1,6,No
317,2019,28604001,1,286,40,1,2,0,1,1,2,0,Si
318,2019,28604001,2,286,40,1,3,6,2,2,3,6,No
319,2019,28700601,2,287,6,1,0,3,2,1,0,3,No
320,2019,28700701,1,287,7,1,2,0,2,1,2,0,No
321,2019,28702801,1,287,28,1,4,0,2,1,4,0,No
322,2019,28800401,2,288,4,1,5,0,2,1,5,0,No
323,2019,28807401,1,288,74,1,1,0,2,1,1,0,No
324,2019,28902801,1,289,28,1,3,0,2,1,3,0,No
325,2019,28903401,1,289,34,1,2,2,2,1,2,2,No
326,2019,29002101,1,290,21,1,98,98,2,1,No sabe,No sabe,No
327,2019,29003401,1,290,34,1,3,0,2,1,3,0,No
328,2019,29005201,1,290,52,1,4,0,2,1,4,0,No
329,2019,29005301,1,290,53,1,3,0,1,1,3,0,Si
330,2019,29005301,2,290,53,1,2,6,2,2,2,6,No
331,2019,29103401,1,291,34,1,5,0,2,1,5,0,No
332,2019,29103501,2,291,35,1,2,0,2,1,2,0,No
333,2019,29200801,1,292,8,1,5,0,1,1,5,0,Si
334,2019,29200801,2,292,8,1,4,0,2,2,4,0,No
335,2019,29200901,1,292,9,1,5,0,2,1,5,0,No
336,2019,29201001,1,292,10,1,3,0,2,1,3,0,No
337,2019,29201401,1,292,14,1,2,0,2,1,2,0,No
338,2019,29202501,2,292,25,1,2,0,2,1,2,0,No
339,2019,29202601,1,292,26,1,4,0,1,1,4,0,Si
340,2019,29202601,2,292,26,1,1,0,2,2,1,0,No
341,2019,29202901,1,292,29,1,1,6,2,1,1,6,No
342,2019,29203101,1,292,31,1,3,0,1,1,3,0,Si
343,2019,29203101,2,292,31,1,3,0,1,2,3,0,Si
344,2019,29203101,3,292,31,1,2,0,2,3,2,0,No
345,2019,29203201,1,292,32,1,2,0,1,1,2,0,Si
346,2019,29203201,2,292,32,1,2,0,2,2,2,0,No
347,2019,29203301,1,292,33,1,2,0,2,1,2,0,No
348,2019,29300401,1,293,4,1,4,0,2,1,4,0,No
349,2019,29300701,1,293,7,1,5,0,2,1,5,0,No
350,2019,29301201,1,293,12,1,3,0,2,1,3,0,No
351,2019,29301301,1,293,13,1,2,0,2,1,2,0,No
352,2019,29301401,1,293,14,1,0,6,2,1,0,6,No
353,2019,29301901,1,293,19,1,5,0,2,1,5,0,No
354,2019,29302201,3,293,22,1,3,0,1,1,3,0,Si
355,2019,29302201,4,293,22,1,3,0,2,2,3,0,No
356,2019,29403601,1,294,36,1,0,2,1,1,0,2,Si
357,2019,29403601,2,294,36,1,2,0,2,2,2,0,No
358,2019,29501101,1,295,11,1,98,98,2,1,No sabe,No sabe,No
359,2019,29501501,1,295,15,1,2,0,2,1,2,0,No
360,2019,29501601,2,295,16,1,4,0,2,1,4,0,No
361,2019,30609201,6,306,92,1,3,98,2,1,3,No sabe,No
362,2019,30709701,1,307,97,1,1,6,2,1,1,6,No
363,2019,31103301,1,311,33,1,2,0,2,1,2,0,No
364,2019,31103801,1,311,38,1,0,6,2,1,0,6,No
365,2019,31105801,1,311,58,1,3,6,2,1,3,6,No
366,2019,31602401,1,316,24,1,2,0,2,1,2,0,No
367,2019,32203701,1,322,37,1,0,2,2,1,0,2,No
368,2019,32204501,1,322,45,1,1,0,2,1,1,0,No
369,2019,32204601,4,322,46,1,5,0,2,1,5,0,No
370,2019,32302101,1,323,21,1,0,8,1,1,0,8,Si
371,2019,32302101,2,323,21,1,0,8,2,2,0,8,No
372,2019,32304901,1,323,49,1,1,6,2,1,1,6,No
373,2019,32414201,1,324,142,1,2,98,2,1,2,No sabe,No
374,2019,32501001,1,325,10,1,1,5,1,1,1,5,Si
375,2019,32501001,2,325,10,1,0,8,2,2,0,8,No
376,2019,32504101,1,325,41,1,1,3,2,1,1,3,No
377,2019,32504201,1,325,42,1,8,98,2,1,8,No sabe,No
378,2019,32505901,1,325,59,1,5,98,2,1,5,No sabe,No
379,2019,32604101,1,326,41,1,8,0,1,1,8,0,Si
380,2019,32604101,2,326,41,1,2,2,2,2,2,2,No
381,2019,32606301,1,326,63,1,2,1,1,1,2,1,Si
