qhcluster,qhnumber,qhhome,ps104_1a,ps104_1m,ps104_1s,ps5,hvidx,hhid
1577,73,1,1,1.0,si,1,2,      157707301
1577,73,1,1,1.0,no,2,4,      157707301
1577,74,1,2,0.0,si,1,3,      157707401
1577,74,1,2,0.0,no,2,4,      157707401
1595,13,1,1,0.0,no,1,1,      159501301
1597,33,1,4,0.0,no,1,1,      159703301
1599,79,1,15,0.0,no,1,2,      159907901
1605,40,1,0,8.0,no,1,3,      160504001
1606,51,1,1,0.0,no,1,2,      160605101
1607,1,1,0,8.0,no,1,4,      160700101
1607,92,1,1,4.0,no,1,4,      160709201
1608,115,1,1,0.0,no,1,2,      160811501
1611,51,1,3,0.0,si,1,1,      161105101
1611,51,1,3,0.0,si,2,2,      161105101
1611,51,1,3,0.0,no,3,3,      161105101
1611,53,1,1,0.0,no,1,2,      161105301
1622,27,1,0,9.0,no,1,2,      162202701
1631,4,1,5,0.0,no,1,2,      163100401
1631,7,1,14,0.0,no,1,2,      163100701
1631,46,1,3,0.0,no,1,2,      163104601
1642,16,1,1,2.0,no,1,3,      164201601
1642,121,1,18,0.0,no,1,2,      164212101
1653,49,1,10,0.0,no,1,2,      165304901
1655,41,1,0,0.0,no,1,2,      165504101
1655,69,1,0,1.0,no,1,2,      165506901
1656,54,1,3,8.0,si,1,1,      165605401
1656,54,1,3,8.0,si,2,2,      165605401
1656,54,1,3,1.0,si,3,3,      165605401
1656,54,1,1,8.0,si,4,4,      165605401
1656,54,1,3,8.0,no,5,6,      165605401
1675,58,1,0,1.0,no,1,2,      167505801
1687,1,1,5,0.0,si,1,1,      168700101
1687,1,1,5,0.0,si,2,2,      168700101
1687,1,1,5,0.0,no,3,3,      168700101
1687,2,1,0,4.0,,1,1,      168700201
1687,4,1,0,3.0,si,1,3,      168700401
1687,4,1,0,3.0,no,2,4,      168700401
1699,65,1,3,0.0,no,1,6,      169906501
1701,43,1,1,0.0,no,1,2,      170104301
1704,5,1,0,5.0,no,1,2,      170400501
1710,92,1,1,7.0,no,1,2,      171009201
1719,84,1,0,3.0,no,1,2,      171908401
1724,126,1,3,0.0,no,1,1,      172412601
1725,20,1,3,0.0,no,1,2,      172502001
1725,31,1,6,0.0,no,1,2,      172503101
1725,37,1,3,0.0,si,1,1,      172503701
1725,37,1,3,0.0,si,2,2,      172503701
1725,37,1,0,6.0,no,3,3,      172503701
1725,38,1,6,0.0,no,1,2,      172503801
1725,39,1,1,0.0,no,1,2,      172503901
1726,69,1,4,0.0,no,1,1,      172606901
1726,70,1,2,0.0,no,1,2,      172607001
1728,82,1,3,9.0,no,1,3,      172808201
1730,18,1,9,0.0,no,1,2,      173001801
1730,20,1,1,1.0,no,1,1,      173002001
1732,56,1,0,1.0,no,1,2,      173205601
1732,64,1,2,0.0,no,1,2,      173206401
1732,66,1,0,1.0,no,1,3,      173206601
1733,48,1,1,9.0,no,1,1,      173304801
1733,81,1,0,1.0,no,1,1,      173308101
1734,84,1,0,4.0,no,1,2,      173408401
1734,163,1,0,8.0,no,1,2,      173416301
