qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
1662,117,1,0,8.0,,1,4,      166211701
1664,85,1,0,8.0,,1,3,      166408501
1665,43,1,0,11.0,,1,3,      166504301
1666,35,1,1,6.0,,1,4,      166603501
1672,68,1,0,3.0,,1,5,      167206801
1677,147,1,0,6.0,no,1,11,      167714701
1679,20,1,0,7.0,,1,4,      167902001
1679,21,1,0,2.0,,1,6,      167902101
1682,1,1,1,0.0,,1,6,      168200101
1682,5,1,1,0.0,,1,5,      168200501
1682,78,1,1,0.0,,1,5,      168207801
1682,79,1,0,5.0,,1,3,      168207901
1683,18,1,1,9.0,,1,6,      168301801
1683,20,1,1,5.0,,1,3,      168302001
1686,24,1,0,8.0,,1,6,      168602401
1686,67,1,0,4.0,,1,4,      168606701
1686,69,1,2,0.0,,1,4,      168606901
1686,89,1,0,4.0,,1,8,      168608901
1692,57,1,0,6.0,,1,6,      169205701
1692,71,1,2,0.0,,1,5,      169207101
1692,74,1,0,1.0,,1,2,      169207401
1694,40,1,0,8.0,no,1,4,      169404001
1697,2,1,2,3.0,no,1,4,      169700201
1697,4,1,1,0.0,,1,4,      169700401
1697,51,1,2,0.0,,1,4,      169705101
1697,53,1,1,6.0,si,1,3,      169705301
1697,53,1,1,6.0,,2,4,      169705301
1697,54,1,0,7.0,no,1,13,      169705401
1697,55,1,1,0.0,,1,8,      169705501
1700,18,1,1,0.0,,1,4,      170001801
1700,35,1,0,5.0,,1,8,      170003501
1703,15,1,1,0.0,,1,4,      170301501
1704,5,1,0,5.0,,1,4,      170400501
1704,13,1,1,0.0,,1,3,      170401301
1704,90,1,1,4.0,,1,3,      170409001
1705,101,1,0,2.0,,1,7,      170510101
1706,31,1,1,6.0,,1,4,      170603101
1707,96,1,1,6.0,,1,4,      170709601
1709,40,1,0,7.0,,1,4,      170904001
1710,92,1,0,3.0,,1,4,      171009201
1712,100,1,0,8.0,,1,4,      171210001
1713,44,1,0,4.0,,1,3,      171304401
1714,37,1,1,6.0,,1,6,      171403701
1716,68,1,0,6.0,,1,8,      171606801
1716,146,1,0,3.0,no,1,3,      171614601
1717,10,1,0,4.0,,1,3,      171701001
1719,59,1,1,5.0,,1,4,      171905901
1721,133,1,0,0.0,si,1,3,      172113301
1721,133,1,0,1.0,,2,5,      172113301
1722,85,1,1,2.0,,1,3,      172208501
1724,59,1,1,0.0,si,1,4,      172405901
1724,59,1,0,1.0,,2,5,      172405901
1727,32,1,0,3.0,,1,7,      172703201
1727,34,1,0,8.0,,1,4,      172703401
1727,50,1,1,6.0,,1,4,      172705001
1728,4,1,1,0.0,,1,3,      172800401
1728,17,1,1,0.0,,1,5,      172801701
